9.89366e+08,1.28577e+07,Lockheed Martin
9.89453e+08,4.6835e+07,Lockheed Martin
9.89453e+08,3.03619e+07,McDonnell Douglas
9.89539e+08,5.95695e+06,McDonnell Douglas
9.90144e+08,3.0003e+07,Lockheed Martin
9.90144e+08,1.89e+07,Boeing
9.90403e+08,2.67673e+07,Boeing
9.90403e+08,6e+06,Lockheed Martin
9.9049e+08,1.14871e+07,Lockheed Martin
9.90576e+08,2.50958e+07,McDonnell Douglas
9.91094e+08,5.99759e+06,Lockheed Martin
9.91181e+08,7.47917e+07,Lockheed Martin
9.91181e+08,5.33938e+06,McDonnell Douglas
9.91267e+08,7e+09,Boeing
9.91354e+08,1.6e+07,Lockheed Martin
9.91354e+08,7.5e+06,Boeing
9.91354e+08,5.48386e+06,Lockheed Martin
9.91613e+08,4.85e+08,Boeing
9.91872e+08,700000,Lockheed Martin
9.91872e+08,1.12584e+06,Boeing
9.91872e+08,254319,Boeing
9.91872e+08,2.29021e+07,Boeing
9.91872e+08,7.2631e+06,Boeing
9.92218e+08,6.03222e+06,McDonnell Douglas
9.9239e+08,2.10942e+08,Lockheed Martin
9.92563e+08,1.30446e+07,Boeing
9.92822e+08,2.15658e+07,Lockheed Martin
9.92995e+08,1.01079e+07,Boeing
9.93168e+08,5.733e+06,Lockheed Martin
9.93514e+08,5.59788e+06,Lockheed Martin
9.936e+08,7.2331e+06,McDonnell Douglas
9.936e+08,5.96636e+06,McDonnell Douglas
9.93686e+08,1.46433e+08,McDonnell Douglas
9.93773e+08,3.20328e+08,Lockheed Martin
9.93773e+08,1.20559e+08,Lockheed Martin
9.93773e+08,8.78264e+06,McDonnell Douglas
9.94032e+08,6.9e+07,Boeing
9.94032e+08,4.43721e+07,Lockheed Martin
9.94032e+08,1.2294e+07,McDonnell Douglas
9.94291e+08,5.97443e+07,Lockheed Martin
9.94291e+08,2.60758e+07,Boeing
9.94291e+08,2.08107e+07,Lockheed Martin
9.94291e+08,3.42162e+06,Lockheed Martin
9.94291e+08,1.4e+07,Boeing
9.94291e+08,1.19611e+07,McDonnell Douglas
9.94723e+08,8.22499e+06,Boeing
9.94896e+08,1.9384e+07,Lockheed Martin
9.94896e+08,5.7e+06,Lockheed Martin
9.94982e+08,6.747e+06,Lockheed Martin
9.95242e+08,7.4e+09,Boeing
9.95242e+08,2.336e+07,Boeing
9.95242e+08,5.32146e+07,Lockheed Martin
9.95414e+08,1.13321e+07,Lockheed Martin
9.96106e+08,6.661e+06,McDonnell Douglas
9.96192e+08,2.1e+07,Lockheed Martin
9.96451e+08,1e+09,McDonnell Douglas
